address,address-text,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,,http://opendatacommunities.org/id/district-council/kettering,Kettering Borough Council,BFR K2,"Scott Road Garages, Scott Road, Kettering, NN16 9JY",-0.716497,52.413627,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k2.pdf,0.427951,owned by a public authority,,pending decision,,,,25,12,25,,"Previously assessed through SHLAA as site 705.

Council owned site. Preference would be for affordable housing on site.

Different dwelling capaciites have been calculated for the site dependent on potential densities to be applied (taking account of the surrounding area). These entail either 17 houses at 50dph or 12 houses at 35 dph and these values take account (exclude) an area of the site under which a sewer easement runs.",2016-06-30 00:00:00,2018-12-04 00:00:00,
,,http://opendatacommunities.org/id/district-council/kettering,Kettering Borough Council,BFR K3,"Kettering Football Club, Rockingham Road, Kettering, NN16 9EU",-0.728381,52.411001,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k3-1.pdf,1.62302,not owned by a public authority,,pending decision,,,,88,88,88,,"Privately owned site with a landowner keen to redevelop.

Former stadium of Kettering Town Football Club. Site has not been used for footballing purposes for a number of years. Stadium demolished in 2017.",2016-06-30 00:00:00,2018-12-04 00:00:00,
,,http://opendatacommunities.org/id/district-council/kettering,Kettering Borough Council,BFR K8,"Land At Rothwell Town Football Club, Cecil Street, Rothwell, NN14 6EZ",-0.800961,52.425536,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k8.pdf,1.60445,not owned by a public authority,,permissioned,full planning permission,2014-11-27,,80,80,80,,,2016-06-30 00:00:00,2017-12-31 00:00:00,
,,http://opendatacommunities.org/id/district-council/kettering,Kettering Borough Council,BFR K15,"Desborough Leisure Centre, Off Broadlands, Desborough, NN14 2YH",-0.805102,52.437485,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k15-1.pdf,3.41814,owned by a public authority,,permissioned,outline planning permission,2017-12-22,,46,46,46,,"For BFR assessment purposes it is assumed that development will only happen on the PDL element of site (and not the larger, wider site which includes extensive tracts of Greenfield). To derive these estimates it has been calculated that only 30% of the wider site is PDL so 70% of the overall site has been discounted for development, hence the minimum figure propsed of 46 net dwellings used.",2016-06-30 00:00:00,2018-12-04 00:00:00,
,,http://opendatacommunities.org/id/district-council/kettering,Kettering Borough Council,BFR K17,"Land At Bosworth's Nursery And Garden Centre, Finedon Road, Burton Latimer, NN15 5QA",-0.686982,52.356221,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k17.pdf,2.721,not owned by a public authority,,permissioned,reserved matters approval,2018-06-08,,69,69,69,,,2016-06-30 00:00:00,2018-12-04 00:00:00,
,,http://opendatacommunities.org/id/district-council/kettering,Kettering Borough Council,BFR K24,"Rothwell Town FC, Cambridge Street, Rothwell, NN14 6HA",-0.800539,52.426053,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k24.pdf,0.3934,not owned by a public authority,,not permissioned,,,,16,16,16,,"See County Council map for additional details on features which may affect site:

http://maps.northamptonshire.gov.uk/",2016-06-30 00:00:00,2017-12-31 00:00:00,
,,http://opendatacommunities.org/id/district-council/kettering,Kettering Borough Council,BFR K30,"Rockingham Dene, Rockingham Road, Kettering, NN16 9JW",-0.732158,52.414965,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k30.pdf,0.44078,owned by a public authority,,not permissioned,,,,9,9,9,,"See County Council map for additional details on features which may affect site:

http://maps.northamptonshire.gov.uk/",2016-06-30 00:00:00,2018-12-04 00:00:00,
,,http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W10,"Former Swimming Baths, Croyland Road, Wellingborough, NN8 2JY",-0.69938,52.296751,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_w10.pdf,0.736844,owned by a public authority,,permissioned,outline planning permission,2018-08-01,,19,19,30,,Previously assessed through SHLAA as site 873,2016-06-30 00:00:00,2018-12-07 00:00:00,
,,http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W12,"Rear Of 3 Princess Way, Wellingborough, NN8 2HD",-0.707156,52.291563,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_w12.pdf,0.375162,not owned by a public authority,,not permissioned,,,,6,6,6,,Previously assessed through SHLAA as site 881,2016-06-30 00:00:00,2018-12-07 00:00:00,
,,http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W15,"George Cox Shoes, Westfield Road, Wellingborough, NN8 3JR",-0.704912,52.302295,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_w15.pdf,0.549354,not owned by a public authority,,permissioned,full planning permission,,,76,31,76,,Previously assessed through SHLAA as site 893.,2016-06-30 00:00:00,2018-12-07 00:00:00,
,,http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W19,"Reddens Scrap Yard, Leys Road / Highfield Road, Wellingborough, NN8 1PL",-0.685203,52.307733,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_w19.pdf,1.13853,not owned by a public authority,,not permissioned,,,,40,40,40,,Previously assessed through SHLAA as site 898.,2016-06-30 00:00:00,2018-12-07 00:00:00,
,,http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W28,"Car Park And Others, High Street/Jackson Lane, Wellingborough, NN8 4JJ",-0.697921,52.302278,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_w28-1.pdf,3.12237,owned by a public authority,,not permissioned,,,,114,114,114,,Allocated as Site C in the 2009 Wellingborough Town Centre Area Action Plan          Allocated as policy site TC9 in the Plan for the Borough of Wellingborough which is aiming to be adopted by the council in February 2019.,2016-06-30 00:00:00,2018-12-07 00:00:00,
,,http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W30,"Former Post Office Sorting Office, Midland Road, Wellingborough, NN8 1DW",-0.691026,52.302113,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_w30.pdf,0.453093,not owned by a public authority,,not permissioned,,,,23,23,73,,Allocated as Site I in the 2009 Wellingborough Town Centre Area Action Plan,2016-06-30 00:00:00,2018-12-07 00:00:00,
,,http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W32,"East Of Eastfield Road, Wellingborough, NN8 1RJ",-0.678612,52.311094,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_w32.pdf,10.8758,not owned by a public authority,,not permissioned,,,,75,75,75,,,2016-06-30 00:00:00,2018-12-07 00:00:00,
,,http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W36,"Land Between Number 33 And 67, Milner Road, Finedon, NN9 5LW",-0.651352,52.335183,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_w36.pdf,1.38846,not owned by a public authority,,permissioned,full planning permission,2017-06-01,,50,50,50,,Site formerly identified as Saved Local Plan Allocation FN2 (Milner Road) from the 2007 Local Plan for Wellingborough (30 dwellings).,2016-06-30 00:00:00,2018-12-07 00:00:00,
,,http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W42,"Site G TCAAP - Alma St/Cambridge Street Backlands, Cambridge Street, Wellingborough, NN8 4DJ",-0.69096,52.30343,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_w42.pdf,0.829819,not owned by a public authority,,not permissioned,,,,33,33,50,,,2016-06-30 00:00:00,2018-12-07 00:00:00,
